,county_fips,period_end,property_type,property_type_id,median_sale_price_yoy,median_list_price_yoy,median_ppsf_yoy,median_list_ppsf_yoy,homes_sold_yoy,new_listings_yoy,inventory_yoy,months_of_supply_yoy,median_dom_yoy,avg_sale_to_list_yoy,sold_above_list_yoy,date,year,month
1067,24033,2021-12-31,All Residential,-1,0.0980457565396268,0.122142857142857,0.10359164914227,0.0994040920716112,-0.109775641025641,-0.114077669902913,-0.0232758620689654,0.0999999999999999,7.0,-0.0032395265854998,-0.0048314927646611,2021-12-31,2021,12
1091,18057,2016-12-31,All Residential,-1,-0.019,-0.0009295408068413,0.0653403868312396,0.0586921325783773,0.0093109869646181,0.0726643598615916,0.0085959885386819,0.0,-13.0,-0.0042256800243831,-0.0044459103808915,2016-12-31,2016,12
1113,08015,2019-12-31,All Residential,-1,0.0210884353741496,-0.212156407278358,0.0073493767306109,0.0732891219369744,0.119047619047619,-0.333333333333333,-0.0984848484848485,-0.6,-10.0,-0.002456551576458,-0.0840932117527862,2019-12-31,2019,12
1116,45029,2015-12-31,All Residential,-1,-0.0960451977401129,0.82,-0.0698696718568139,0.181961285836521,-0.16,0.428571428571429,0.0913978494623655,2.3,-36.0,-0.017715748946674,-0.04,2015-12-31,2015,12
1121,55019,2021-12-31,All Residential,-1,0.246575342465753,0.191996594295445,0.269867358538928,0.151173835466456,-0.0769230769230768,0.1,-0.271604938271605,-0.6,31.0,-0.0276541130183906,0.0192307692307692,2021-12-31,2021,12
1125,12117,2012-12-31,All Residential,-1,0.102941176470588,0.123411234112341,0.0956216517855441,0.110425180609322,0.192883895131086,-0.114583333333333,-0.120893561103811,-1.5,-18.0,0.0061115000846055,0.0156603695929538,2012-12-31,2012,12
1141,08065,2014-12-31,All Residential,-1,0.0640641149460343,0.602572320883697,0.840673320664524,0.11,-0.375,0.0,0.0416666666666667,6.0,24.0,-0.0404441835605739,-0.25,2014-12-31,2014,12
1143,51047,2019-12-31,All Residential,-1,0.0486374611935149,0.10648596321394,-0.139757255560293,0.0925290642271774,0.183673469387755,-0.054054054054054,-0.267148014440433,-2.2,-30.0,0.006653222917207,0.0123152709359606,2019-12-31,2019,12
1150,41065,2016-12-31,All Residential,-1,0.23314606741573,0.0741612713360799,0.0680179302280257,0.203767144828844,0.473684210526316,0.230769230769231,-0.348837209302325,-2.5,-22.0,-0.0041645325479082,0.037593984962406,2016-12-31,2016,12
1154,27071,2017-12-31,All Residential,-1,-0.19674039580908,0.867823765020027,0.411657128618206,0.322295331635086,0.333333333333333,1.71428571428571,0.384615384615385,0.699999999999999,-39.0,0.0202195499981584,0.0,2017-12-31,2017,12
1162,25023,2013-12-31,All Residential,-1,0.0863350485991996,0.0758953423640749,0.0630993659469447,0.0395994832041342,0.0472103004291846,-0.0317460317460317,0.0077459333849729,-0.2,-42.0,0.0064388730544256,0.0094279884612678,2013-12-31,2013,12
