,home_value_median,median_ppsf,median_list_price,median_list_ppsf,median_sale_price
904,246700.0,152.822580645161,287795.0,168.301169590643,280000.0
905,256500.0,175.643327348893,275900.0,187.185209338724,277000.0
906,268900.0,189.280945458461,289000.0,189.2797319933,340000.0
907,274200.0,215.023301447143,349000.0,222.443820224719,324000.0
908,336600.0,211.095681313583,340000.0,216.334467671366,385000.0
931,474000.0,281.182408074982,419950.0,245.379328459484,475000.0
932,522500.0,307.91922931055,474900.0,279.871153133111,522000.0
933,577000.0,328.813559322034,489950.0,318.850267379679,553000.0
934,642300.0,360.531309297913,528888.0,325.070821529745,580000.0
935,670000.0,369.488292746244,552500.0,357.850388207785,618000.0
936,687600.0,393.215111796453,588500.0,360.159283762405,710000.0
941,376800.0,191.679584358453,359000.0,201.763485477178,400000.0
942,413100.0,193.76747902517,425000.0,221.975088967972,422000.0
943,426800.0,212.517768142323,412000.0,234.270833333333,445000.0
944,472100.0,234.375,489500.0,253.45783712377,460000.0
945,486600.0,247.489380202988,524000.0,265.968586387435,480000.0
946,502000.0,254.545454545455,449450.0,261.524390243902,539500.0
951,204700.0,119.13357400722,192700.0,118.302014917886,220000.0
952,220100.0,128.327339449541,215500.0,128.755364806867,236000.0
953,238100.0,140.03294892916,225000.0,139.614010007148,255000.0
954,248700.0,151.909722222222,244500.0,151.299870160529,263000.0
955,274400.0,158.404950714221,269000.0,159.477832285779,277210.0
956,288300.0,167.505102040816,275900.0,171.526586620926,320000.0
971,183100.0,115.817145341591,180000.0,115.189125295508,200000.0
972,197100.0,123.470190139846,191500.0,120.996865276589,210000.0
973,204200.0,128.015247766979,200000.0,127.14700610351,220000.0
974,205700.0,134.667571234735,222500.0,136.41488162345,227000.0
975,226400.0,137.829596143921,221950.0,137.5,250500.0
976,235800.0,148.247978436658,245000.0,144.052044609665,284000.0
981,159300.0,111.111111111111,169000.0,110.457516339869,212000.0
982,167600.0,145.833333333333,227000.0,146.951064919002,210000.0
983,217400.0,152.376033057851,213500.0,163.461653089609,265000.0
984,210500.0,172.764227642276,284900.0,187.907268170426,237500.0
985,245700.0,168.407590162839,289500.0,174.786103306875,248000.0
986,255200.0,169.280442804428,239000.0,183.946700507614,297000.0
991,464400.0,318.054010629094,459000.0,312.5,510000.0
992,497200.0,344.639489988327,498000.0,333.333333333333,535000.0
993,537900.0,359.408530042918,530000.0,364.678899082569,585000.0
994,588700.0,395.017793594306,565000.0,392.737690137568,600000.0
995,625200.0,409.982174688057,599000.0,410.714285714286,650000.0
996,644100.0,428.66323907455,615700.0,425.93112775697,730000.0
1001,201100.0,117.567722681359,220000.0,115.03347534997,213500.0
1002,232800.0,117.111255692908,199900.0,120.554655870445,235000.0
1003,235400.0,129.581827568405,249000.0,135.264900662252,242500.0
1004,240800.0,142.777365967698,265000.0,152.411208862822,263500.0
1005,273500.0,150.877768065268,285500.0,158.696572154041,284000.0
1006,294000.0,160.558070828377,294900.0,166.389351081531,330000.0
1011,862800.0,457.070707070707,790000.0,489.560375566665,900000.0
1012,906500.0,558.180872895392,824950.0,501.604278074866,941000.0
1013,974600.0,547.770700636943,917500.0,518.564568239925,1125000.0
